points,constructorId,raceId,year,name,driverId,grid,positionOrder,team_grid,skill_diff
37.0,6,969,2017,Australian Grand Prix,20.0,2.0,20.0,3.0,-1.0
0.0,210,969,2017,Australian Grand Prix,154.0,6.0,1.0,11.5,-5.5
0.0,210,969,2017,Australian Grand Prix,825.0,17.0,6.0,11.5,5.5
0.0,1,969,2017,Australian Grand Prix,4.0,12.0,7.0,15.0,-3.0
0.0,1,969,2017,Australian Grand Prix,838.0,18.0,8.0,15.0,3.0
0.0,15,969,2017,Australian Grand Prix,828.0,14.0,3.0,15.0,-1.0
0.0,4,969,2017,Australian Grand Prix,835.0,19.0,2.0,15.0,4.0
0.0,4,969,2017,Australian Grand Prix,807.0,11.0,10.0,15.0,-4.0
6.0,5,969,2017,Australian Grand Prix,826.0,9.0,12.0,8.5,0.5
6.0,5,969,2017,Australian Grand Prix,832.0,8.0,13.0,8.5,-0.5
0.0,15,969,2017,Australian Grand Prix,841.0,16.0,9.0,15.0,1.0
7.0,10,969,2017,Australian Grand Prix,815.0,10.0,14.0,11.5,-1.5
8.0,3,969,2017,Australian Grand Prix,840.0,20.0,5.0,13.5,6.5
8.0,3,969,2017,Australian Grand Prix,13.0,7.0,15.0,13.5,-6.5
10.0,9,969,2017,Australian Grand Prix,817.0,20.0,4.0,2.5,-2.5
10.0,9,969,2017,Australian Grand Prix,830.0,5.0,16.0,2.5,2.5
33.0,131,969,2017,Australian Grand Prix,822.0,3.0,18.0,2.0,1.0
33.0,131,969,2017,Australian Grand Prix,1.0,1.0,19.0,2.0,-1.0
37.0,6,969,2017,Australian Grand Prix,8.0,4.0,17.0,3.0,1.0
7.0,10,969,2017,Australian Grand Prix,839.0,13.0,11.0,11.5,1.5
0.0,4,970,2017,Chinese Grand Prix,807.0,7.0,9.0,13.5,-6.5
0.0,4,970,2017,Chinese Grand Prix,835.0,20.0,8.0,13.5,6.5
0.0,15,970,2017,Chinese Grand Prix,828.0,14.0,6.0,16.0,-2.0
0.0,15,970,2017,Chinese Grand Prix,841.0,18.0,2.0,16.0,2.0
4.0,210,970,2017,Chinese Grand Prix,154.0,19.0,10.0,15.5,3.5
0.0,1,970,2017,Chinese Grand Prix,838.0,15.0,3.0,14.0,1.0
4.0,210,970,2017,Chinese Grand Prix,825.0,12.0,13.0,15.5,-3.5
12.0,5,970,2017,Chinese Grand Prix,826.0,9.0,4.0,10.0,-1.0
0.0,1,970,2017,Chinese Grand Prix,4.0,13.0,5.0,14.0,-1.0
12.0,5,970,2017,Chinese Grand Prix,832.0,11.0,14.0,10.0,1.0
37.0,9,970,2017,Chinese Grand Prix,830.0,16.0,18.0,10.5,5.5
10.0,10,970,2017,Chinese Grand Prix,815.0,8.0,12.0,12.5,-4.5
10.0,10,970,2017,Chinese Grand Prix,839.0,17.0,11.0,12.5,4.5
65.0,6,970,2017,Chinese Grand Prix,8.0,4.0,16.0,3.0,1.0
66.0,131,970,2017,Chinese Grand Prix,1.0,1.0,20.0,2.0,-1.0
66.0,131,970,2017,Chinese Grand Prix,822.0,3.0,15.0,2.0,1.0
65.0,6,970,2017,Chinese Grand Prix,20.0,2.0,19.0,3.0,-1.0
37.0,9,970,2017,Chinese Grand Prix,817.0,5.0,17.0,10.5,-5.5
8.0,3,970,2017,Chinese Grand Prix,13.0,6.0,7.0,8.0,-2.0
8.0,3,970,2017,Chinese Grand Prix,840.0,10.0,1.0,8.0,2.0
8.0,210,971,2017,Bahrain Grand Prix,825.0,20.0,2.0,14.5,5.5
8.0,210,971,2017,Bahrain Grand Prix,154.0,9.0,13.0,14.5,-5.5
0.0,1,971,2017,Bahrain Grand Prix,838.0,17.0,1.0,16.0,1.0
0.0,1,971,2017,Bahrain Grand Prix,4.0,15.0,7.0,16.0,-1.0
0.0,15,971,2017,Bahrain Grand Prix,828.0,19.0,6.0,16.0,3.0
2.0,4,971,2017,Bahrain Grand Prix,835.0,10.0,8.0,8.5,1.5
2.0,4,971,2017,Bahrain Grand Prix,807.0,7.0,12.0,8.5,-1.5
12.0,5,971,2017,Bahrain Grand Prix,832.0,16.0,5.0,13.5,2.5
12.0,5,971,2017,Bahrain Grand Prix,826.0,11.0,9.0,13.5,-2.5
0.0,15,971,2017,Bahrain Grand Prix,836.0,13.0,10.0,16.0,-3.0
17.0,10,971,2017,Bahrain Grand Prix,815.0,18.0,14.0,16.0,2.0
102.0,6,971,2017,Bahrain Grand Prix,8.0,5.0,17.0,4.0,1.0
99.0,131,971,2017,Bahrain Grand Prix,1.0,2.0,19.0,1.5,0.5
99.0,131,971,2017,Bahrain Grand Prix,822.0,1.0,18.0,1.5,-0.5
47.0,9,971,2017,Bahrain Grand Prix,817.0,4.0,16.0,5.0,-1.0
102.0,6,971,2017,Bahrain Grand Prix,20.0,3.0,20.0,4.0,-1.0
47.0,9,971,2017,Bahrain Grand Prix,830.0,6.0,3.0,5.0,1.0
16.0,3,971,2017,Bahrain Grand Prix,13.0,8.0,15.0,10.0,-2.0
16.0,3,971,2017,Bahrain Grand Prix,840.0,12.0,4.0,10.0,2.0
17.0,10,971,2017,Bahrain Grand Prix,839.0,14.0,11.0,16.0,-2.0
13.0,5,972,2017,Russian Grand Prix,826.0,12.0,9.0,13.0,-1.0
8.0,210,972,2017,Russian Grand Prix,825.0,13.0,8.0,16.0,-3.0
0.0,1,972,2017,Russian Grand Prix,4.0,15.0,1.0,17.5,-2.5
0.0,1,972,2017,Russian Grand Prix,838.0,20.0,7.0,17.5,2.5
0.0,15,972,2017,Russian Grand Prix,836.0,17.0,5.0,17.5,-0.5
0.0,15,972,2017,Russian Grand Prix,828.0,18.0,6.0,17.5,0.5
6.0,4,972,2017,Russian Grand Prix,835.0,16.0,3.0,12.0,4.0
6.0,4,972,2017,Russian Grand Prix,807.0,8.0,13.0,12.0,-4.0
13.0,5,972,2017,Russian Grand Prix,832.0,14.0,11.0,13.0,1.0
8.0,210,972,2017,Russian Grand Prix,154.0,19.0,2.0,16.0,3.0
31.0,10,972,2017,Russian Grand Prix,815.0,9.0,15.0,9.5,-0.5
135.0,6,972,2017,Russian Grand Prix,20.0,1.0,19.0,1.5,-0.5
135.0,6,972,2017,Russian Grand Prix,8.0,2.0,18.0,1.5,0.5
136.0,131,972,2017,Russian Grand Prix,822.0,3.0,20.0,3.5,-0.5
136.0,131,972,2017,Russian Grand Prix,1.0,4.0,17.0,3.5,0.5
31.0,10,972,2017,Russian Grand Prix,839.0,10.0,14.0,9.5,0.5
57.0,9,972,2017,Russian Grand Prix,817.0,5.0,4.0,6.0,-1.0
18.0,3,972,2017,Russian Grand Prix,13.0,6.0,12.0,8.5,-2.5
18.0,3,972,2017,Russian Grand Prix,840.0,11.0,10.0,8.5,2.5
57.0,9,972,2017,Russian Grand Prix,830.0,7.0,16.0,6.0,1.0
21.0,5,973,2017,Spanish Grand Prix,832.0,12.0,14.0,15.5,-3.5
9.0,210,973,2017,Spanish Grand Prix,154.0,14.0,11.0,12.5,1.5
0.0,1,973,2017,Spanish Grand Prix,838.0,20.0,3.0,13.5,6.5
0.0,1,973,2017,Spanish Grand Prix,4.0,7.0,9.0,13.5,-6.5
4.0,15,973,2017,Spanish Grand Prix,828.0,16.0,10.0,15.5,0.5
4.0,15,973,2017,Spanish Grand Prix,836.0,15.0,13.0,15.5,-0.5
14.0,4,973,2017,Spanish Grand Prix,835.0,17.0,6.0,15.0,2.0
14.0,4,973,2017,Spanish Grand Prix,807.0,13.0,15.0,15.0,-2.0
21.0,5,973,2017,Spanish Grand Prix,826.0,19.0,12.0,15.5,3.5
9.0,210,973,2017,Spanish Grand Prix,825.0,11.0,7.0,12.5,-1.5
53.0,10,973,2017,Spanish Grand Prix,839.0,10.0,16.0,9.0,1.0
18.0,3,973,2017,Spanish Grand Prix,840.0,18.0,5.0,13.5,4.5
18.0,3,973,2017,Spanish Grand Prix,13.0,9.0,8.0,13.5,-4.5
72.0,9,973,2017,Spanish Grand Prix,830.0,5.0,2.0,5.5,-0.5
72.0,9,973,2017,Spanish Grand Prix,817.0,6.0,18.0,5.5,0.5
161.0,131,973,2017,Spanish Grand Prix,822.0,3.0,4.0,2.0,1.0
161.0,131,973,2017,Spanish Grand Prix,1.0,1.0,20.0,2.0,-1.0
153.0,6,973,2017,Spanish Grand Prix,8.0,4.0,1.0,3.0,1.0
153.0,6,973,2017,Spanish Grand Prix,20.0,2.0,19.0,3.0,-1.0
53.0,10,973,2017,Spanish Grand Prix,815.0,8.0,17.0,9.0,-1.0
14.0,4,974,2017,Monaco Grand Prix,835.0,16.0,10.0,13.0,3.0
14.0,4,974,2017,Monaco Grand Prix,807.0,10.0,1.0,13.0,-3.0
4.0,15,974,2017,Monaco Grand Prix,828.0,19.0,4.0,18.5,0.5
4.0,15,974,2017,Monaco Grand Prix,836.0,18.0,2.0,18.5,-0.5
14.0,210,974,2017,Monaco Grand Prix,825.0,11.0,11.0,9.5,1.5
0.0,1,974,2017,Monaco Grand Prix,18.0,20.0,3.0,16.0,4.0
14.0,210,974,2017,Monaco Grand Prix,154.0,8.0,13.0,9.5,-1.5
29.0,5,974,2017,Monaco Grand Prix,826.0,9.0,7.0,7.5,1.5
0.0,1,974,2017,Monaco Grand Prix,838.0,12.0,5.0,16.0,-4.0
29.0,5,974,2017,Monaco Grand Prix,832.0,6.0,15.0,7.5,-1.5
